Student_ID,Name,Gender,Age,Department,Study_Hours,Attendance,Math_Score,Reading_Score,Writing_Score
S0001,Priya,Female,22,Civil,5.5,61.0,96.0,56.0,95.0
S0002,Nisha,Female,24,Civil,4.8,86.0,88.0,91.0,75.0
S0003,Kunal,Male,18,Civil,1.6,73.0,92.0,48.0,66.0
S0004,Aarav,Female,23,IT,2.5,71.0,62.0,64.0,89.0
S0005,Deb,Male,23,IT,1.6,89.0,58.0,60.0,67.0
S0006,Rahul,Female,18,IT,3.5,82.0,45.0,67.0,95.0
S0007,Amit,Female,24,CSE,4.4,93.0,96.0,73.0,63.0
S0008,Abhishek,Female,24,ME,4.9,85.0,72.0,75.0,89.0
S0009,Aarav,Male,24,ECE,6.7,100.0,73.0,84.0,44.0
S0010,Vikram,Female,21,ECE,4.4,69.0,94.0,49.0,78.0
S0011,Vikram,Female,23,ME,6.0,89.0,56.0,77.0,63.0
S0012,Neha,Female,22,Civil,5.9,80.0,67.0,54.0,56.0
S0013,Sayan,Male,18,ECE,5.6,93.0,69.0,93.0,71.0
S0014,Puja,Female,19,IT,5.8,84.0,72.0,91.0,90.0
S0015,Puja,Female,22,CSE,6.8,75.0,69.0,93.0,44.0
S0016,Kunal,Female,21,ECE,7.8,77.0,44.0,83.0,55.0
S0017,Puja,Female,18,ECE,6.2,81.0,49.0,70.0,96.0
S0018,Aarav,Male,18,ME,5.1,60.0,79.0,92.0,50.0
S0019,Riya,Male,22,CSE,6.3,72.0,82.0,90.0,78.0
S0020,Ishita,Male,18,IT,5.7,91.0,89.0,97.0,69.0
S0021,Vikram,Male,22,CSE,4.3,63.0,78.0,86.0,70.0
S0022,Moumita,Male,21,ECE,7.5,92.0,59.0,74.0,64.0
S0023,Deb,Male,22,ECE,3.6,61.0,64.0,46.0,41.0
S0024,Ishita,Female,24,CSE,1.2,85.0,60.0,85.0,57.0
S0025,Kunal,Female,18,ME,7.6,91.0,79.0,93.0,48.0
S0026,Rahul,Male,21,Civil,3.4,93.0,54.0,85.0,83.0
S0027,Rohan,Female,18,ECE,5.5,66.0,42.0,83.0,72.0
S0028,Ananya,Female,24,ECE,4.4,98.0,68.0,43.0,46.0
S0029,Sourav,Male,24,Civil,7.3,63.0,50.0,84.0,92.0
S0030,Sneha,Female,20,ME,4.7,60.0,64.0,61.0,49.0
S0031,Ishita,Male,20,ME,4.5,81.0,58.0,71.0,49.0
S0032,Aditya,Female,21,CSE,4.7,88.0,90.0,59.0,90.0
S0033,Priya,Male,19,CSE,7.7,84.0,81.0,63.0,64.0
S0034,Diya,Male,18,IT,6.9,77.0,75.0,85.0,74.0
S0035,Diya,Male,18,Civil,6.0,90.0,88.0,78.0,84.0
S0036,Arjun,Female,22,IT,5.7,63.0,46.0,92.0,54.0
S0037,Priya,Female,19,CSE,5.8,77.0,86.0,93.0,49.0
S0038,Sourav,Male,22,IT,2.9,59.0,58.0,62.0,48.0
S0039,Sayan,Female,18,CSE,3.9,71.0,66.0,42.0,41.0
S0040,Priya,Male,18,IT,1.9,98.0,75.0,70.0,92.0
S0041,Ishita,Female,24,ME,5.3,96.0,85.0,81.0,40.0
S0042,Deb,Female,22,ECE,5.2,82.0,83.0,49.0,81.0
S0043,Ishita,Female,21,IT,7.6,77.0,43.0,89.0,83.0
S0044,Tanya,Male,20,IT,3.0,62.0,59.0,91.0,64.0
S0045,Aditya,Male,22,IT,2.4,58.0,86.0,49.0,48.0
S0046,Nisha,Male,18,CSE,1.9,77.0,78.0,83.0,79.0
S0047,Moumita,Male,21,Civil,5.0,81.0,64.0,66.0,53.0
S0048,Tanya,Male,24,ECE,2.3,56.0,82.0,87.0,72.0
S0049,Neha,Female,20,ECE,2.6,56.0,57.0,76.0,68.0
S0050,Tanya,Female,20,ECE,7.6,92.0,45.0,95.0,49.0
S0051,Diya,Male,23,Civil,6.7,76.0,80.0,75.0,86.0
S0052,Pallavi,Female,18,CSE,5.4,70.0,70.0,45.0,52.0
S0053,Neha,Male,23,ME,6.0,78.0,90.0,56.0,73.0
S0054,Sayan,Female,24,ECE,3.6,84.0,80.0,71.0,73.0
S0055,Puja,Female,19,ECE,5.4,64.0,71.0,42.0,60.0
S0056,Abhishek,Female,24,CSE,5.5,60.0,59.0,65.0,72.0
S0057,Pallavi,Female,19,CSE,8.0,56.0,74.0,55.0,92.0
S0058,Vikram,Female,22,CSE,7.7,79.0,74.0,75.0,89.0
S0059,Sourav,Male,22,CSE,1.6,79.0,61.0,77.0,54.0
S0060,Moumita,Male,23,Civil,5.6,67.0,50.0,60.0,56.0
S0061,Diya,Female,20,ECE,7.8,67.0,87.0,82.0,38.0
S0062,Nisha,Female,21,IT,6.7,85.0,50.0,88.0,71.0
S0063,Aarav,Male,20,Civil,2.0,56.0,96.0,49.0,70.0
S0064,Neha,Male,24,IT,1.4,74.0,53.0,76.0,47.0
S0065,Nisha,Male,19,CSE,7.9,86.0,46.0,97.0,91.0
S0066,Pallavi,Male,21,IT,5.3,96.0,47.0,64.0,68.0
S0067,Puja,Male,22,Civil,2.7,77.0,83.0,94.0,67.0
S0068,Amit,Female,18,CSE,6.5,60.0,91.0,73.0,87.0
S0069,Moumita,Female,24,ECE,2.2,82.0,72.0,77.0,59.0
S0070,Aditya,Female,21,IT,2.2,84.0,54.0,97.0,82.0
S0071,Ishita,Female,21,Civil,3.7,64.0,68.0,89.0,74.0
S0072,Neha,Male,21,IT,3.3,62.0,60.0,59.0,91.0
S0073,Kunal,Female,19,Civil,5.4,69.0,61.0,51.0,73.0
S0074,Priya,Female,20,Civil,4.2,80.0,65.0,43.0,73.0
S0075,Vikram,Female,23,ME,3.4,98.0,89.0,73.0,96.0
S0076,Neha,Male,21,IT,5.5,58.0,65.0,88.0,49.0
S0077,Aarav,Female,22,IT,1.9,92.0,81.0,81.0,64.0
S0078,Puja,Female,20,CSE,1.3,69.0,80.0,49.0,80.0
S0079,Sayan,Female,18,ECE,6.5,87.0,57.0,81.0,78.0
S0080,Ishita,Male,22,ECE,4.8,55.0,46.0,51.0,59.0
S0081,Riya,Female,19,Civil,5.7,100.0,59.0,47.0,74.0
S0082,Tanya,Male,18,CSE,2.9,81.0,42.0,53.0,73.0
S0083,Pallavi,Male,21,IT,3.4,75.0,78.0,72.0,54.0
S0084,Puja,Female,24,IT,1.3,86.0,48.0,43.0,68.0
S0085,Ishita,Female,24,ME,2.4,72.0,72.0,95.0,84.0
S0086,Deb,Female,19,Civil,1.4,81.0,95.0,46.0,84.0
S0087,Pallavi,Female,21,Civil,1.6,87.0,73.0,80.0,58.0
S0088,Puja,Female,23,IT,3.5,59.0,75.0,97.0,89.0
S0089,Sneha,Female,24,Civil,4.6,79.0,80.0,48.0,76.0
S0090,Arjun,Male,21,ECE,2.5,87.0,94.0,75.0,46.0
S0091,Abhishek,Male,24,IT,6.4,100.0,71.0,50.0,73.0
S0092,Neha,Female,20,ME,4.7,89.0,52.0,51.0,76.0
S0093,Diya,Male,23,ECE,1.9,97.0,76.0,45.0,89.0
S0094,Neha,Male,20,IT,7.6,66.0,48.0,59.0,72.0
S0095,Vikram,Female,19,ME,2.2,99.0,43.0,90.0,49.0
S0096,Neha,Male,21,Civil,4.4,89.0,41.0,61.0,52.0
S0097,Abhishek,Female,22,CSE,4.3,81.0,49.0,62.0,47.0
S0098,Vikram,Male,21,CSE,1.4,77.0,77.0,96.0,83.0
S0099,Vikram,Female,20,CSE,2.1,67.0,95.0,94.0,43.0
S0100,Tanya,Female,19,ECE,2.7,97.0,71.0,55.0,61.0
S0101,Sneha,Female,23,ME,4.2,78.0,85.0,55.0,57.0
S0102,Sourav,Female,22,Civil,4.4,68.0,87.0,54.0,45.0
S0103,Rohan,Female,23,Civil,5.8,62.0,51.0,55.0,79.0
S0104,Tanya,Male,21,CSE,4.8,64.0,81.0,82.0,88.0
S0105,Sayan,Female,23,IT,3.8,85.0,73.0,71.0,94.0
S0106,Sayan,Female,21,ECE,1.8,64.0,75.0,56.0,60.0
S0107,Kunal,Female,22,Civil,1.3,99.0,82.0,77.0,58.0
S0108,Sayan,Male,21,ME,3.4,88.0,92.0,75.0,44.0
S0109,Sayan,Female,18,CSE,5.1,59.0,73.0,70.0,74.0
S0110,Priya,Female,24,Civil,7.7,94.0,70.0,76.0,39.0
S0111,Rahul,Female,19,CSE,1.7,60.0,50.0,76.0,93.0
S0112,Sayan,Male,18,CSE,6.3,88.0,47.0,88.0,92.0
